iter	Passed	Remaining
0	0	76
1	1	71
2	2	68
3	2	63
4	3	62
5	3	62
6	4	61
7	5	60
8	5	60
9	6	59
10	7	58
11	7	57
12	8	57
13	9	56
14	9	55
15	10	54
16	11	54
17	11	53
18	12	52
19	13	52
20	13	51
21	14	50
22	15	50
23	15	49
24	16	49
25	17	48
26	17	47
27	18	47
28	18	46
29	19	45
30	20	45
31	20	44
32	21	43
33	22	43
34	22	42
35	23	41
36	24	41
37	24	40
38	25	39
39	26	39
40	26	38
41	27	37
42	27	36
43	28	36
44	29	35
45	29	34
46	30	34
47	31	33
48	31	33
49	32	32
50	33	31
51	33	31
52	34	30
53	35	29
54	35	29
55	36	28
56	36	27
57	37	27
58	37	26
59	38	25
60	39	25
61	39	24
62	40	23
63	41	23
64	42	22
65	42	21
66	43	21
67	44	20
68	44	20
69	45	19
70	46	18
71	46	18
72	47	17
73	48	16
74	48	16
75	49	15
76	49	14
77	50	14
78	51	13
79	52	13
80	52	12
81	53	11
82	53	11
83	54	10
84	55	9
85	56	9
86	56	8
87	57	7
88	58	7
89	58	6
90	59	5
91	59	5
92	60	4
93	61	3
94	61	3
95	62	2
96	63	1
97	63	1
98	64	0
99	65	0
