iter	Passed	Remaining
0	136	136351
1	137	68421
2	137	45764
3	138	34436
4	138	27630
5	139	23088
6	140	19860
7	140	17436
8	141	15548
9	141	14040
10	142	12806
11	143	11777
12	143	10909
13	144	10160
14	144	9510
15	145	8944
16	146	8444
17	146	8002
18	147	7604
19	147	7247
20	148	6925
21	149	6635
22	149	6366
23	150	6123
24	151	5897
25	151	5685
26	152	5490
27	152	5311
28	153	5143
29	154	4986
30	154	4842
31	155	4705
32	156	4575
33	156	4451
34	157	4336
35	157	4226
36	158	4121
37	158	4022
38	159	3928
39	159	3839
40	160	3754
41	161	3676
42	161	3601
43	162	3529
44	163	3460
45	163	3392
46	164	3327
47	164	3265
48	165	3206
49	165	3150
50	166	3097
51	167	3045
52	167	2995
53	168	2947
54	168	2903
55	169	2858
56	170	2815
57	170	2773
58	171	2733
59	171	2693
60	172	2656
61	173	2621
62	173	2586
63	174	2551
64	175	2517
65	175	2484
66	176	2452
67	176	2421
68	177	2391
69	177	2363
70	178	2335
71	179	2311
72	180	2287
73	180	2262
74	181	2237
75	182	2212
76	182	2188
77	183	2165
78	183	2142
79	184	2120
80	184	2098
81	185	2077
82	185	2054
83	186	2036
84	187	2017
85	188	2000
86	188	1982
87	189	1963
88	189	1944
89	190	1926
90	191	1908
91	191	1891
92	192	1874
93	192	1857
94	193	1841
95	193	1825
96	194	1809
97	195	1795
98	195	1781
99	196	1767
100	196	1753
101	197	1739
102	198	1728
103	199	1714
104	199	1700
105	200	1687
106	200	1674
107	201	1662
108	201	1649
109	202	1637
110	202	1625
111	203	1613
112	204	1602
113	204	1590
114	205	1579
115	205	1569
116	206	1558
117	207	1547
118	207	1537
119	208	1526
120	208	1516
121	209	1505
122	209	1495
123	210	1487
124	211	1478
125	211	1469
126	212	1459
127	213	1451
128	213	1443
129	214	1435
130	215	1426
131	215	1419
132	216	1410
133	217	1402
134	217	1395
135	218	1389
136	219	1381
137	220	1374
138	220	1366
139	221	1358
140	221	1351
141	222	1343
142	222	1335
143	223	1328
144	224	1321
145	224	1314
146	225	1307
147	225	1300
148	226	1293
149	227	1286
150	227	1279
151	228	1272
152	228	1266
153	229	1259
154	229	1252
155	230	1246
156	231	1240
